Date & Time,Wind Speed m/s,Active Power kW,Reactive Power kVar,Volatge- Phase R,Volatge- Phase Y,Volatge- Phase B,Current - Phase R,Current - Phase Y,Current - Phase B,Ambient temperature,Nacelle temperature,Generator RPM,Generator Bearing Temperature DE,Generator Bearing Temperature NDE,Generator winding temperature R Phase,Generator winding temperature Y Phase,Generator winding temperature B Phase,Gearbox oil Temperature,Gearbox high speed bearing Temperature,Hydraulic oil temperature
22/07/2018 00:00:00,8.8,480.8,20.8,572,566.8,573.7,280.8,279,283.8,28.8,29.1,1457.7,68.9,68.5,99.1,99.1,101,59.1,60.7,42.6
22/07/2018 00:00:10,9.2,532.1,-3.3,570.7,570.4,570.2,285.6,287,287.9,28.8,29.1,1490.3,68.9,68.6,98.6,99.3,101.4,59,60.7,42.6
22/07/2018 00:00:20,9.2,611.7,13.5,573.6,570.7,572.5,331.2,328.7,331.7,28.6,29,1486.6,68.8,68.5,98.7,99.1,101.3,59,60.7,42.6
22/07/2018 00:00:30,9.3,621.5,-36,572.4,574.2,576.5,367.4,364.5,366.8,28.5,28.9,1457,68.9,68.5,98.7,99.3,101,59,60.8,42.7
22/07/2018 00:00:40,8.4,456.2,53.4,571.6,577,576.7,353.8,352.4,354.3,28.4,28.9,1362.3,68.8,68.4,98.8,99.1,101.8,59,60.6,42.7
22/07/2018 00:00:50,8.1,437.5,-5,575.3,574.4,576.9,260.7,263.2,262.4,28.5,28.9,1415.7,68.8,68.4,99.3,99.3,101.6,59,60.6,42.6
22/07/2018 00:01:00,9.4,509.7,20.3,570.1,568.8,571.5,253.8,251.4,254,28.5,28.9,1487.3,68.8,68.4,99.3,99.2,102.1,59.1,60.7,42.6
22/07/2018 00:01:10,9.5,618.2,31.5,570.5,572.4,571.5,322,319.6,321.2,28.5,28.9,1495.5,68.8,68.7,98.7,99.3,101.5,59.1,60.7,42.6
22/07/2018 00:01:20,9.6,658.4,-15.2,573.9,573.2,577.1,362,366.3,361.4,28.4,28.8,1483.6,68.8,68.5,98.9,99.5,101.7,59.1,60.6,42.6
22/07/2018 00:01:30,9.4,635.7,-17.5,573.1,572.5,574.2,389.6,386.5,387.4,28.3,28.8,1455.6,68.7,68.4,99.3,100,101.8,59.1,60.7,42.6
22/07/2018 00:01:40,9.4,590,-22.8,572.1,570.6,575.5,374.2,368.8,373,28.2,28.8,1411.1,68.8,68.4,99.8,99.9,101.7,59.1,60.6,42.6
22/07/2018 00:01:50,9.1,495.4,3.4,574.5,573.9,575.2,339.1,335.4,341.2,28.2,28.8,1410.4,68.7,68.4,99.4,99.6,102.3,59.1,60.7,42.6
22/07/2018 00:02:00,8.3,451.1,2.2,575.1,573.1,576.8,301.2,293.4,299.2,28.3,28.8,1409.1,68.7,68.4,99.9,99.9,102.5,59.1,60.7,42.6
22/07/2018 00:02:10,8.8,538.6,24.2,571.4,570.6,572.9,269.5,270.5,272.5,28.4,28.8,1474.9,68.7,68.4,100.4,100.5,103.2,59.1,60.6,42.6
22/07/2018 00:02:20,9.2,684.4,-3.4,575,575.1,575.5,320.8,319.1,323.2,28.4,28.8,1509.8,68.6,68.5,99.9,100.4,103.1,59.1,60.7,42.6
22/07/2018 00:02:30,9.6,660.5,6.3,574,575.7,573,406.5,402,404.8,28.4,28.8,1461.9,68.6,68.5,100.4,100.5,102.5,59.1,60.7,42.6
22/07/2018 00:02:40,9.7,617.9,19.1,573.3,574,575.1,382.3,379.5,382.4,28.4,28.8,1435.4,68.6,68.5,100.3,100.2,102.6,59.1,60.6,42.6
22/07/2018 00:02:50,9.8,652,-5.2,573,576.4,576.1,362,365.8,369.9,28.5,28.8,1450.6,68.6,68.4,100.2,100.2,103.1,59.1,60.6,42.6
