TimeStamp,"Average  Wind Speed
(m/s)","Average  Wind Dirction
(deg)","Average Active Power
(MW)","Forecasted Power 
(kW)"
8/1/21 0:00,10.6633,186.9200,95.8400,100.2519
8/1/21 0:10,10.7100,188.1500,96.0345,100.0095
8/1/21 0:20,10.5333,188.7833,93.7213,97.1179
8/1/21 0:30,10.1967,189.8000,88.8355,96.9631
8/1/21 0:40,10.3400,193.0033,90.9687,94.0841
8/1/21 0:50,10.5233,194.7367,92.9685,93.8138
8/1/21 1:00,10.6467,195.2567,93.8991,89.4726
8/1/21 1:10,10.9400,191.9200,97.4046,89.2480
8/1/21 1:20,10.8400,189.5300,96.6724,93.0227
8/1/21 1:30,10.6967,192.2733,95.4159,92.5904
8/1/21 1:40,10.7267,193.3900,95.5479,94.7284
8/1/21 1:50,10.7967,193.5100,96.7191,94.0431
8/1/21 2:00,11.0233,194.7267,98.6426,92.9116
8/1/21 2:10,11.3833,194.3633,100.2872,92.1961
8/1/21 2:20,11.4900,192.8800,100.4748,93.0650
8/1/21 2:30,11.4000,194.5900,100.2186,92.2223
8/1/21 2:40,11.0267,195.8367,96.2004,94.8234
8/1/21 2:50,10.7400,185.5267,92.4662,93.4073
8/1/21 3:00,10.6200,196.8067,92.1301,93.4677
8/1/21 3:10,10.4533,198.0667,90.0560,91.8846
8/1/21 3:20,10.3467,186.9767,88.0030,88.6591
8/1/21 3:30,10.1167,188.1400,84.3311,87.8327
8/1/21 3:40,9.9200,189.4000,81.2155,86.2052
8/1/21 3:50,9.6467,190.3633,75.0768,85.2383
8/1/21 4:00,9.4467,189.0333,71.5902,80.7588
8/1/21 4:10,9.5333,190.6667,73.0553,79.8830
8/1/21 4:20,9.5633,191.0533,74.2858,72.6218
8/1/21 4:30,9.6300,190.6233,75.6716,71.9387
8/1/21 4:40,9.5567,191.4800,74.2484,70.1340
8/1/21 4:50,9.5333,190.5833,73.3947,69.2289
8/1/21 5:00,9.1833,189.8767,66.4204,70.0101
8/1/21 5:10,9.0633,190.4033,64.6130,68.9275
8/1/21 5:20,9.3000,190.4467,68.6045,67.5010
8/1/21 5:30,9.3967,187.0133,70.6728,66.3672
8/1/21 5:40,9.2467,186.8500,67.6329,61.5095
8/1/21 5:50,9.0033,187.1433,63.0246,61.0149
8/1/21 6:00,8.9300,186.9700,61.6003,66.1521
8/1/21 6:10,8.9500,186.0067,61.4553,65.4549
8/1/21 6:20,8.8300,185.0400,59.8065,59.8696
8/1/21 6:30,8.8300,185.8067,59.3867,59.3686
8/1/21 6:40,8.5067,187.1767,54.0505,59.1403
8/1/21 6:50,8.1100,188.7567,46.9123,58.4570
8/1/21 7:00,7.7233,189.0800,39.6180,56.3363
8/1/21 7:10,7.4800,191.1067,36.9550,55.6747
8/1/21 7:20,7.4533,191.4900,35.9060,46.3670
8/1/21 7:30,7.6667,189.0500,38.6894,46.0198
8/1/21 7:40,7.5300,187.7100,37.2276,37.8349
8/1/21 7:50,7.3367,187.9533,33.9798,37.7434
8/1/21 8:00,7.5633,188.1567,38.3564,39.2611
8/1/21 8:10,7.6100,187.5400,39.0104,38.9961
8/1/21 8:20,7.3567,186.7067,35.4932,35.4034
8/1/21 8:30,7.3533,197.7167,35.2141,35.1828
8/1/21 8:40,7.4267,196.8133,36.5313,36.5242
8/1/21 8:50,7.5400,198.0500,38.1460,36.5313
8/1/21 9:00,7.3567,186.6733,35.4043,35.5132
8/1/21 9:10,7.2467,186.4167,33.5116,35.5550
8/1/21 9:20,7.1033,186.9733,31.4748,36.1374
8/1/21 9:30,7.1400,187.1333,32.0900,36.1580
8/1/21 9:40,7.1367,188.0267,31.8981,34.2335
8/1/21 9:50,6.8767,187.2067,28.0687,34.0376
8/1/21 10:00,6.6833,199.8667,25.9860,32.6666
8/1/21 10:10,6.6700,199.6100,25.6156,32.4791
8/1/21 10:20,6.6800,199.2400,25.7860,28.9730
8/1/21 10:30,6.9167,201.9733,29.2917,28.8388
8/1/21 10:40,7.1500,191.2267,32.0259,26.3049
8/1/21 10:50,7.2667,191.3300,33.7918,26.5035
8/1/21 11:00,7.3533,189.3800,34.6176,29.1011
8/1/21 11:10,7.4600,188.4033,36.2972,29.1751
8/1/21 11:20,7.5467,190.1300,37.9114,32.9876
8/1/21 11:30,7.8333,192.3900,42.5087,32.9121
8/1/21 11:40,7.9967,194.0000,45.1636,34.5531
8/1/21 11:50,7.9333,192.8100,44.2365,34.5272
8/1/21 12:00,8.0700,192.8167,47.4834,39.9846
8/1/21 12:10,8.3933,193.4800,53.7142,39.7720
8/1/21 12:20,8.4000,192.9633,53.1005,41.1674
8/1/21 12:30,8.4100,193.3033,53.2013,40.7405
8/1/21 12:40,8.7267,194.6233,60.0807,48.9237
8/1/21 12:50,8.8800,195.1833,62.5380,48.3910
8/1/21 13:00,8.5833,194.4600,56.2870,48.0722
8/1/21 13:10,8.5533,192.2100,55.3549,47.6155
8/1/21 13:20,8.5867,190.5300,56.1438,55.1161
8/1/21 13:30,8.7200,190.2933,58.8311,54.4066
8/1/21 13:40,8.5900,188.1933,56.4173,49.9125
8/1/21 13:50,8.6833,186.7300,58.5441,49.8267
8/1/21 14:00,8.8367,196.7700,61.3235,54.1692
8/1/21 14:10,9.0200,186.6267,65.5864,54.0110
8/1/21 14:20,9.2133,187.5767,69.0887,54.2924
8/1/21 14:30,9.3700,188.2600,72.0914,54.2883
8/1/21 14:40,9.1667,187.4067,68.4722,60.4160
8/1/21 14:50,8.8867,187.8967,62.5590,59.9454
8/1/21 15:00,8.9767,189.3067,64.0578,65.4422
8/1/21 15:10,8.8867,187.8733,61.8504,64.8266
8/1/21 15:20,9.1133,188.9300,66.3928,57.6219
8/1/21 15:30,9.4967,190.4000,74.7099,57.3425
8/1/21 15:40,9.7633,189.7733,79.7694,60.8241
8/1/21 15:50,9.9733,189.3133,84.7878,61.4810
8/1/21 16:00,10.0467,188.8400,86.0063,70.7597
8/1/21 16:10,9.9733,188.3600,84.4573,71.2472
8/1/21 16:20,10.2600,185.4233,88.8183,84.9720
8/1/21 16:30,10.7400,194.0100,96.5347,84.9639
8/1/21 16:40,10.7933,192.5267,97.1191,84.8182
8/1/21 16:50,10.7200,191.6867,95.9679,85.7198
8/1/21 17:00,10.5600,189.1600,93.7464,92.7174
8/1/21 17:10,10.4500,188.2733,93.1743,93.5789
8/1/21 17:20,10.3500,189.2467,91.1069,97.0726
8/1/21 17:30,10.3867,189.1533,91.0698,97.9832
8/1/21 17:40,10.3967,190.9033,92.3510,94.6538
8/1/21 17:50,10.2133,191.2033,89.1266,94.9988
8/1/21 18:00,10.1600,190.9567,87.8479,94.0018
8/1/21 18:10,10.2133,191.2400,88.6405,94.3866
8/1/21 18:20,10.2167,189.0533,87.7685,91.2871
8/1/21 18:30,10.2100,188.5133,88.2958,91.8199
8/1/21 18:40,10.3433,190.0367,90.2873,91.6757
8/1/21 18:50,10.7500,191.5800,96.0907,92.0980
8/1/21 19:00,10.6667,192.9267,95.7276,92.1423
8/1/21 19:10,10.7700,194.5967,96.4559,92.5455
8/1/21 19:20,10.8567,183.0100,98.2365,97.4007
8/1/21 19:30,10.6167,192.4167,94.3996,97.5930
8/1/21 19:40,10.5900,190.9000,95.3286,96.7991
8/1/21 19:50,10.6133,190.5833,95.0002,96.6618
8/1/21 20:00,10.8100,189.1867,96.5319,94.7018
8/1/21 20:10,10.9900,187.6400,98.4023,94.5988
8/1/21 20:20,10.9033,186.8133,97.7684,95.2190
8/1/21 20:30,10.8333,186.1200,97.5506,95.0553
8/1/21 20:40,10.7400,185.2867,96.7701,97.7749
8/1/21 20:50,10.6200,185.3533,95.7205,97.6139
8/1/21 21:00,10.3633,185.3200,91.5536,96.8358
8/1/21 21:10,10.2100,184.3300,88.1842,96.7039
8/1/21 21:20,10.1867,182.4767,87.9177,95.2905
8/1/21 21:30,9.9633,182.4833,84.3636,95.2091
8/1/21 21:40,10.0133,182.4567,84.6704,89.4580
8/1/21 21:50,10.1900,180.8333,87.6774,89.7167
8/1/21 22:00,10.3000,180.1367,89.7743,87.8484
8/1/21 22:10,10.3267,180.2633,91.1595,88.1867
8/1/21 22:20,10.6900,181.1867,96.2358,89.4118
8/1/21 22:30,10.7033,181.4600,95.9035,89.7170
8/1/21 22:40,10.6033,180.6233,94.4282,95.7820
8/1/21 22:50,10.3033,181.5267,89.9031,95.7555
8/1/21 23:00,10.2167,182.3300,88.4463,95.8031
8/1/21 23:10,10.2867,184.1233,89.4324,95.7720
8/1/21 23:20,10.3300,185.7533,90.7962,92.5394
8/1/21 23:30,10.2867,183.9667,88.5889,92.6365
8/1/21 23:40,10.2100,183.5200,87.2454,91.1169
8/1/21 23:50,10.0300,183.6967,82.6689,90.8754
8/2/21 0:00,9.8567,184.0200,79.2889,88.9301
8/2/21 0:10,9.6200,185.2067,77.0893,88.7031
8/2/21 0:20,9.2167,187.7900,68.6082,84.4814
8/2/21 0:30,9.3500,189.0933,68.5707,84.2931
8/2/21 0:40,9.5000,189.0667,73.1771,78.6428
8/2/21 0:50,9.8533,189.5533,81.2152,78.6618
8/2/21 1:00,9.6867,191.1600,78.1214,71.9861
8/2/21 1:10,9.4967,193.0433,73.3789,72.1600
8/2/21 1:20,9.3433,192.5433,70.7071,81.3652
8/2/21 1:30,9.5200,192.9267,74.0783,81.1061
8/2/21 1:40,9.7567,194.5933,78.9285,74.4910
8/2/21 1:50,10.0067,193.5167,83.7404,74.9485
8/2/21 2:00,9.9133,194.0867,81.9280,76.1066
8/2/21 2:10,9.7567,182.9367,79.9410,76.5377
8/2/21 2:20,9.7433,185.8333,79.6187,82.6276
8/2/21 2:30,9.5800,187.0367,75.8794,82.8589
8/2/21 2:40,9.6133,186.6000,75.2310,81.5450
8/2/21 2:50,9.5300,187.5467,74.3233,81.6300
8/2/21 3:00,9.1933,188.6300,68.1231,79.1937
8/2/21 3:10,8.8400,190.2800,61.2416,79.2276
8/2/21 3:20,9.0733,192.2767,65.5019,76.9494
8/2/21 3:30,9.2300,193.2967,68.6876,76.9760
8/2/21 3:40,8.9900,194.1733,63.3336,69.0400
8/2/21 3:50,8.6900,194.5800,57.4414,69.0262
8/2/21 4:00,8.3400,193.2767,50.9684,71.0936
8/2/21 4:10,8.2967,192.8300,50.1091,70.7538
8/2/21 4:20,8.0933,191.4033,46.3393,60.0278
8/2/21 4:30,8.1133,192.6133,47.1463,59.9822
8/2/21 4:40,8.1067,195.7533,47.2378,54.7183
8/2/21 4:50,8.4467,195.8667,53.3009,55.2971
8/2/21 5:00,8.6867,195.9567,57.4036,52.4459
8/2/21 5:10,8.9900,193.5933,63.2179,53.0605
8/2/21 5:20,9.0833,192.7700,65.1211,58.3334
8/2/21 5:30,8.8667,191.6567,60.9093,58.7662
8/2/21 5:40,9.0167,191.6200,63.3635,64.8797
8/2/21 5:50,8.7033,190.5567,57.8396,65.1667
8/2/21 6:00,8.6100,191.1433,56.1630,63.3398
8/2/21 6:10,8.4400,190.5333,52.8720,63.7122
8/2/21 6:20,8.6567,191.3200,57.0863,61.4648
8/2/21 6:30,8.7433,190.8733,58.7213,61.9228
8/2/21 6:40,8.5400,191.7900,54.9943,57.1513
8/2/21 6:50,8.4067,189.3967,51.9125,56.5855
8/2/21 7:00,8.4033,189.4867,52.3847,59.0893
8/2/21 7:10,8.4433,189.9133,53.5407,58.1338
8/2/21 7:20,8.5400,190.7600,55.1108,52.2509
8/2/21 7:30,8.3767,191.8133,52.3127,51.3248
8/2/21 7:40,8.6167,193.5267,56.7840,54.5963
8/2/21 7:50,8.3700,194.0633,52.3592,55.4316
8/2/21 8:00,8.0700,194.2433,46.9908,57.8534
8/2/21 8:10,8.1500,193.6700,48.8068,58.7042
8/2/21 8:20,8.3867,193.7600,52.8392,55.6809
8/2/21 8:30,8.2967,193.1833,50.9822,56.8651
8/2/21 8:40,8.5767,194.2967,56.7721,54.4106
8/2/21 8:50,8.7900,195.9200,60.7779,54.1878
8/2/21 9:00,8.5633,197.1167,56.1756,53.5078
8/2/21 9:10,8.2700,198.1700,50.4437,53.0580
8/2/21 9:20,8.2267,197.2967,49.5086,59.2823
8/2/21 9:30,8.4700,193.4667,53.6639,58.4161
8/2/21 9:40,8.6533,191.8967,58.0782,51.4605
8/2/21 9:50,8.6167,192.2467,57.1766,51.6979
8/2/21 10:00,8.8667,192.2933,61.1865,55.0202
8/2/21 10:10,9.0467,193.7833,66.6939,55.1603
8/2/21 10:20,8.7367,195.6567,59.9806,56.9438
8/2/21 10:30,8.3300,195.7100,51.7901,57.0492
8/2/21 10:40,8.3500,196.0367,52.1498,65.0567
8/2/21 10:50,8.4567,195.8267,53.7650,65.4134
8/2/21 11:00,8.3767,195.5033,52.1785,54.5357
8/2/21 11:10,8.6967,193.1800,58.7206,55.4795
8/2/21 11:20,9.0800,191.4633,66.0596,56.5712
8/2/21 11:30,9.0767,190.4833,66.3664,57.6007
8/2/21 11:40,8.6633,189.7633,58.5816,61.6615
8/2/21 11:50,8.4433,189.4333,54.1549,62.2684
8/2/21 12:00,8.5100,190.2933,55.2466,67.4893
8/2/21 12:10,8.4900,191.6667,54.8642,67.9455
8/2/21 12:20,8.5133,191.1533,55.0039,61.8617
8/2/21 12:30,8.5033,188.8233,54.8615,62.5926
8/2/21 12:40,8.5400,188.6800,55.5516,60.7268
8/2/21 12:50,8.4800,187.7767,54.9304,62.6910
8/2/21 13:00,8.6233,188.9700,58.0179,61.9406
8/2/21 13:10,8.9300,189.0333,63.5975,64.1581
8/2/21 13:20,8.8700,189.0667,61.2083,64.6277
8/2/21 13:30,9.0067,189.5533,64.3815,67.1275
8/2/21 13:40,9.4167,187.5833,71.8491,68.8481
8/2/21 13:50,9.9267,188.0067,81.7022,70.2494
8/2/21 14:00,9.7867,189.0733,79.0036,73.5025
8/2/21 14:10,10.0000,188.9833,83.7958,74.6986
8/2/21 14:20,10.3500,189.6333,89.6341,83.8738
8/2/21 14:30,10.5333,189.7533,92.1628,84.7303
8/2/21 14:40,10.5567,190.8333,93.4591,88.1457
8/2/21 14:50,10.5300,191.0333,93.1566,88.7302
8/2/21 15:00,10.5267,190.8000,93.0339,95.2881
8/2/21 15:10,10.7000,190.1300,94.6832,95.6234
8/2/21 15:20,10.8500,189.3000,95.9298,95.8810
8/2/21 15:30,11.1500,188.8867,96.9192,96.1729
8/2/21 15:40,11.2067,188.8333,97.2531,96.8150
8/2/21 15:50,11.0567,190.4733,96.3757,97.0734
8/2/21 16:00,10.9267,191.0433,95.1159,98.4586
8/2/21 16:10,10.9733,190.5200,98.6197,98.6513
8/2/21 16:20,11.0867,190.7967,98.9857,97.6258
8/2/21 16:30,11.3433,189.5100,100.0956,97.8550
8/2/21 16:40,11.8567,187.1733,100.9805,99.9536
8/2/21 16:50,12.3133,186.1967,101.4817,100.1003
8/2/21 17:00,12.2033,187.6467,101.4130,100.6033
8/2/21 17:10,12.2533,187.7900,101.4638,100.7109
8/2/21 17:20,12.6400,188.0467,101.6167,100.8096
8/2/21 17:30,12.5400,187.2667,101.5656,100.9060
8/2/21 17:40,12.3467,187.6967,101.4731,101.0008
8/2/21 17:50,12.2933,187.8533,101.4207,101.1063
8/2/21 18:00,12.2200,188.8867,101.4338,101.2126
8/2/21 18:10,12.3267,189.3900,101.4057,101.3141
8/2/21 18:20,12.9333,190.4300,101.8057,101.4294
8/2/21 18:30,13.1933,190.6333,102.0035,101.5502
8/2/21 18:40,13.4333,189.9467,102.1095,101.6724
8/2/21 18:50,13.8767,190.0600,102.4090,101.7785
8/2/21 19:00,13.9967,191.7567,102.5049,101.8755
8/2/21 19:10,14.0267,191.7967,102.5453,101.9802
8/2/21 19:20,14.1567,191.2700,102.6300,102.0835
8/2/21 19:30,14.2667,191.3267,102.7038,102.1799
8/2/21 19:40,14.2933,190.8533,102.6919,102.2741
8/2/21 19:50,14.5367,192.7200,102.7701,102.3647
8/2/21 20:00,14.4333,193.1467,102.7724,102.4714
8/2/21 20:10,14.6033,192.9900,102.8650,102.5781
8/2/21 20:20,14.6700,193.4200,102.8758,102.6688
8/2/21 20:30,14.3933,193.5733,102.7622,102.7481
8/2/21 20:40,14.4300,193.9833,102.7551,102.8258
8/2/21 20:50,14.8633,194.7833,102.9757,102.8960
8/2/21 21:00,14.7900,194.2433,102.9147,102.9583
8/2/21 21:10,14.9867,194.6967,103.0273,103.0204
8/2/21 21:20,14.9800,195.6433,103.0283,103.0742
8/2/21 21:30,15.0500,195.9267,103.0624,103.1305
8/2/21 21:40,15.1300,196.2933,103.1039,103.1261
8/2/21 21:50,14.9033,197.7033,102.9916,103.1416
8/2/21 22:00,14.7967,198.6067,102.9248,103.1539
8/2/21 22:10,14.8733,199.8133,102.9691,103.1684
8/2/21 22:20,14.9700,199.6400,102.9956,103.1814
8/2/21 22:30,14.9567,199.2300,103.0375,103.0628
8/2/21 22:40,14.9633,198.6467,103.0639,103.0843
8/2/21 22:50,14.9000,198.8333,103.0189,103.1004
8/2/21 23:00,14.8867,200.0700,102.9978,103.1539
8/2/21 23:10,14.7867,201.0367,102.9285,103.1683
8/2/21 23:20,14.6633,202.1300,102.9075,103.0480
8/2/21 23:30,14.6200,202.1800,102.8142,103.0670
8/2/21 23:40,14.3433,202.2367,102.6946,103.0302
8/2/21 23:50,14.0733,203.2100,102.5546,103.0495
8/3/21 0:00,14.0400,203.6967,102.5414,103.0664
8/3/21 0:10,14.1867,203.8733,102.6127,102.9979
8/3/21 0:20,14.2833,203.9200,102.6875,102.7394
8/3/21 0:30,14.6800,203.6400,102.9077,102.7705
8/3/21 0:40,14.8533,203.1400,102.9629,102.8655
8/3/21 0:50,14.7300,203.2033,102.9310,102.8906
8/3/21 1:00,14.6000,203.1233,102.8802,102.9125
8/3/21 1:10,14.3967,203.7667,102.7812,103.0739
8/3/21 1:20,14.0100,204.1633,102.5870,102.9990
8/3/21 1:30,13.8467,204.4100,102.4261,103.0178
8/3/21 1:40,14.0367,204.6567,102.5206,103.0213
8/3/21 1:50,13.8800,204.7967,102.4532,102.8721
8/3/21 2:00,13.9833,204.9300,102.5398,102.8744
8/3/21 2:10,14.0667,204.4367,102.5911,102.6852
8/3/21 2:20,13.7667,203.3100,102.3943,102.7141
8/3/21 2:30,13.4400,202.7533,102.1835,102.7489
8/3/21 2:40,13.2600,203.0633,102.0593,102.7623
8/3/21 2:50,13.2167,202.2567,102.0199,102.6298
8/3/21 3:00,13.4667,201.0200,102.1156,102.6477
8/3/21 3:10,13.7800,199.3233,102.3374,102.4293
8/3/21 3:20,13.6233,199.1233,102.3234,102.4687
8/3/21 3:30,13.2367,198.9900,102.0527,102.4465
8/3/21 3:40,13.0100,199.1733,101.8531,102.4802
8/3/21 3:50,12.4700,200.4767,101.6043,102.5330
8/3/21 4:00,12.0867,200.0933,101.2465,102.5627
8/3/21 4:10,12.1467,199.2600,101.3066,102.2253
8/3/21 4:20,12.5333,198.9967,101.5296,102.2640
8/3/21 4:30,12.7033,199.4833,101.6910,101.9426
8/3/21 4:40,12.5933,199.3733,101.5939,101.9308
8/3/21 4:50,12.3233,199.1300,101.4554,101.8472
8/3/21 5:00,11.9367,198.6767,101.2444,101.8293
8/3/21 5:10,12.0233,198.4267,101.2720,101.7998
8/3/21 5:20,11.9867,199.0733,101.2608,101.7645
8/3/21 5:30,12.1633,199.2000,101.3484,101.4343
8/3/21 5:40,12.1833,198.9967,101.4122,101.3110
8/3/21 5:50,11.8267,199.6200,101.0980,101.1881
8/3/21 6:00,11.5900,199.4700,100.5874,101.2264
8/3/21 6:10,11.4600,199.1500,100.0951,101.0811
8/3/21 6:20,11.4567,198.4567,100.2110,100.4067
8/3/21 6:30,11.5667,197.8400,100.2943,100.2435
8/3/21 6:40,11.8500,196.7033,100.8752,100.1019
8/3/21 6:50,11.6400,195.6333,100.7987,99.6523
