Datetime,Resolution code,Offshore/onshore,Region,Grid connection type,Measured & Upscaled,Most recent forecast,Most recent P10,Most recent P90,Day Ahead 11AM forecast,Day Ahead 11AM P10,Day Ahead 11AM P90,Day-ahead 6PM forecast,Day-ahead 6PM P10,Day-ahead 6PM P90,Week-ahead forecast,Week-ahead P10,Week-ahead P90,Monitored capacity,Load factor,Decremental bid Indicator
2017-12-31 23:45:00+01:00,PT15M,Onshore,Flanders,Elia,40.67,45.408,41.446,48.648,46.604,41.032,49.515,46.24,40.955,49.792,30.491,13.626,46.531,53.86,0.755098,0
2017-12-31 23:30:00+01:00,PT15M,Onshore,Flanders,Elia,42.191,44.927,40.507,48.534,46.175,40.094,49.555,45.797,40.015,49.841,30.543,13.741,46.538,53.86,0.783354,0
2017-12-31 23:15:00+01:00,PT15M,Onshore,Flanders,Elia,41.743,44.447,39.569,48.416,45.747,39.154,49.595,45.354,39.074,49.894,30.595,13.86,46.546,53.86,0.775024,0
2017-12-31 23:00:00+01:00,PT15M,Onshore,Flanders,Elia,40.592,43.966,38.63,48.302,45.318,38.216,49.635,44.911,38.134,49.943,30.647,13.975,46.553,53.86,0.753665,0
2017-12-31 22:45:00+01:00,PT15M,Onshore,Flanders,Elia,37.72,43.428,37.612,48.212,44.818,37.259,49.646,44.447,37.222,49.958,30.7,14.101,46.549,53.86,0.700333,0
2017-12-31 22:30:00+01:00,PT15M,Onshore,Flanders,Elia,38.212,42.837,36.51,48.147,44.245,36.288,49.633,43.964,36.335,49.937,30.754,14.237,46.534,53.86,0.709462,0
2017-12-31 22:15:00+01:00,PT15M,Onshore,Flanders,Elia,38.433,42.245,35.408,48.082,43.672,35.318,49.619,43.48,35.45,49.917,30.807,14.373,46.518,53.86,0.71358,0
2017-12-31 22:00:00+01:00,PT15M,Onshore,Flanders,Elia,36.473,41.654,34.306,48.017,43.099,34.347,49.606,42.997,34.563,49.896,30.861,14.509,46.503,53.86,0.67718,0
2017-12-31 21:45:00+01:00,PT15M,Onshore,Flanders,Elia,37.21,40.954,33.207,47.806,42.543,33.383,49.544,42.481,33.616,49.806,30.92,14.656,46.488,53.86,0.690862,0
2017-12-31 21:30:00+01:00,PT15M,Onshore,Flanders,Elia,39.814,40.15,32.11,47.446,42.006,32.426,49.439,41.934,32.605,49.651,30.983,14.811,46.471,53.86,0.739211,0
2017-12-31 21:15:00+01:00,PT15M,Onshore,Flanders,Elia,40.258,39.344,31.014,47.086,41.469,31.469,49.334,41.388,31.596,49.495,31.048,14.968,46.457,53.86,0.74746,0
2017-12-31 21:00:00+01:00,PT15M,Onshore,Flanders,Elia,39.067,38.54,29.917,46.726,40.932,30.512,49.229,40.841,30.585,49.34,31.111,15.123,46.44,53.86,0.72534,0
2017-12-31 20:45:00+01:00,PT15M,Onshore,Flanders,Elia,37.933,38.195,28.901,47.488,40.319,29.674,48.998,40.233,29.719,49.074,31.187,15.29,46.435,53.86,0.704291,0
2017-12-31 20:30:00+01:00,PT15M,Onshore,Flanders,Elia,37.173,37.215,27.741,46.689,39.628,28.954,48.638,39.567,28.997,48.699,31.273,15.467,46.441,53.86,0.690176,0
2017-12-31 20:15:00+01:00,PT15M,Onshore,Flanders,Elia,35.712,36.235,26.581,45.889,38.936,28.234,48.28,38.901,28.277,48.325,31.361,15.643,46.445,53.86,0.663055,0
2017-12-31 20:00:00+01:00,PT15M,Onshore,Flanders,Elia,36.766,35.255,25.421,45.09,38.245,27.514,47.92,38.235,27.555,47.95,31.447,15.82,46.451,53.86,0.682614,0
2017-12-31 19:45:00+01:00,PT15M,Onshore,Flanders,Elia,39.184,34.499,24.574,44.425,37.475,26.706,47.421,37.545,26.813,47.499,31.551,16.006,46.475,53.86,0.727511,0
2017-12-31 19:30:00+01:00,PT15M,Onshore,Flanders,Elia,37.555,33.965,24.037,43.896,36.625,25.805,46.782,36.832,26.052,46.974,31.671,16.201,46.518,53.86,0.697268,0
2017-12-31 19:15:00+01:00,PT15M,Onshore,Flanders,Elia,32.843,33.432,23.498,43.366,35.775,24.907,46.141,36.119,25.292,46.448,31.789,16.397,46.559,53.86,0.609777,0
2017-12-31 19:00:00+01:00,PT15M,Onshore,Flanders,Elia,32.329,32.898,22.961,42.837,34.925,24.006,45.502,35.406,24.531,45.923,31.909,16.592,46.602,53.86,0.600246,0
2017-12-31 18:45:00+01:00,PT15M,Onshore,Flanders,Elia,29.754,32.398,22.426,42.371,34.332,23.362,45.071,34.721,23.801,45.389,32.047,16.794,46.656,53.86,0.552434,0
2017-12-31 18:30:00+01:00,PT15M,Onshore,Flanders,Elia,28.95,31.931,21.893,41.969,33.992,22.974,44.848,34.066,23.102,44.848,32.2,17.003,46.72,53.86,0.537499,0
2017-12-31 18:15:00+01:00,PT15M,Onshore,Flanders,Elia,29.354,31.464,21.359,41.568,33.653,22.585,44.625,33.408,22.402,44.307,32.351,17.211,46.785,53.86,0.545001,0
2017-12-31 18:00:00+01:00,PT15M,Onshore,Flanders,Elia,28.56,30.997,20.826,41.166,33.313,22.197,44.402,32.753,21.703,43.766,32.504,17.42,46.849,53.86,0.530264,0
2017-12-31 17:45:00+01:00,PT15M,Onshore,Flanders,Elia,24.925,30.751,20.719,40.787,32.754,21.519,43.991,32.285,21.124,43.443,32.667,17.63,46.917,53.86,0.462771,0
2017-12-31 17:30:00+01:00,PT15M,Onshore,Flanders,Elia,24.109,30.725,21.036,40.427,31.972,20.551,43.396,32.003,20.665,43.338,32.836,17.838,46.989,53.86,0.447624,0
2017-12-31 17:15:00+01:00,PT15M,Onshore,Flanders,Elia,22.482,30.698,21.356,40.071,31.191,19.583,42.799,31.72,20.206,43.231,33.006,18.049,47.061,53.86,0.417417,0
2017-12-31 17:00:00+01:00,PT15M,Onshore,Flanders,Elia,23.246,30.672,21.673,39.711,30.409,18.615,42.204,31.438,19.747,43.126,33.175,18.257,47.133,53.86,0.4316,0
2017-12-31 16:45:00+01:00,PT15M,Onshore,Flanders,Elia,23.424,30.724,21.942,39.653,30.363,18.379,42.3,31.286,19.404,43.168,33.343,18.459,47.197,53.86,0.434914,0
2017-12-31 16:30:00+01:00,PT15M,Onshore,Flanders,Elia,26.586,30.854,22.166,39.895,31.052,18.872,43.088,31.268,19.178,43.356,33.509,18.655,47.254,53.86,0.493621,0
2017-12-31 16:15:00+01:00,PT15M,Onshore,Flanders,Elia,29.956,30.983,22.392,40.139,31.742,19.367,43.877,31.251,18.953,43.546,33.674,18.851,47.311,53.86,0.556183,0
2017-12-31 16:00:00+01:00,PT15M,Onshore,Flanders,Elia,32.719,31.113,22.616,40.381,32.431,19.86,44.665,31.233,18.727,43.734,33.84,19.047,47.368,53.86,0.607486,0
2017-12-31 15:45:00+01:00,PT15M,Onshore,Flanders,Elia,33.824,40.01,32.241,47.383,33.366,20.723,45.334,31.788,19.206,44.175,33.996,19.229,47.412,53.86,0.62799,0
2017-12-31 15:30:00+01:00,PT15M,Onshore,Flanders,Elia,31.916,40.983,33.757,47.711,34.553,21.959,45.886,32.919,20.384,44.869,34.139,19.398,47.444,53.86,0.592578,0
2017-12-31 15:15:00+01:00,PT15M,Onshore,Flanders,Elia,29.607,41.955,35.277,48.039,35.739,23.194,46.44,34.049,21.565,45.562,34.284,19.564,47.476,53.86,0.549705,0
2017-12-31 15:00:00+01:00,PT15M,Onshore,Flanders,Elia,35.006,42.928,36.793,48.367,36.926,24.43,46.992,35.18,22.743,46.256,34.427,19.733,47.508,53.86,0.649946,0
2017-12-31 14:45:00+01:00,PT15M,Onshore,Flanders,Elia,36.777,43.599,38.046,48.43,37.959,25.657,47.455,36.488,24.234,46.904,34.549,19.881,47.561,53.86,0.682828,0
