,ActivePower,AmbientTemperatue,BearingShaftTemperature,Blade1PitchAngle,Blade2PitchAngle,Blade3PitchAngle,ControlBoxTemperature,GearboxBearingTemperature,GearboxOilTemperature,GeneratorRPM,GeneratorWinding1Temperature,GeneratorWinding2Temperature,HubTemperature,MainBoxTemperature,NacellePosition,ReactivePower,RotorRPM,TurbineStatus,WTG,WindDirection,WindSpeed
2019-01-01 00:00:00+00:00,460.1744215,19.5014597,39.7231615,,,,0,65.525475,55.7832612,1140.44403,59.0838949,58.3300232,29.275023,28.6974007,,-0.558813434,10.23171325,2,G01,,6.057609835
2019-01-01 00:10:00+00:00,429.0895735,19.4624277,39.5931682,,,,0,65.5256521,55.9311933,1113.33395,58.664207,57.9170161,29.004748,28.6875,,-0.190576241,9.9875141,2,G01,,6.11243979
2019-01-01 00:20:00+00:00,427.750086,19.4072302,39.4132126,,,,0,65.3599606,55.8483569,1112.59394,58.0914972,57.3463301,29.001907,28.6596384,,-0.489147804,9.97407485,2,G01,,6.13890989
2019-01-01 00:30:00+00:00,438.649299,19.3887314,39.2978217,,,,0,65.4129533,55.9454887,1111.12714,57.7402702,57.0046315,29.001907,28.5924816,,-0.346443361,9.96481615,2,G01,,5.917394835
2019-01-01 00:40:00+00:00,461.037332,19.4062477,39.186556,,,,0,65.6210355,55.9183056,1138.94237,57.560538,56.8256275,29.001907,28.5067951,203,-0.15380243,10.2085567,2,G01,203,5.971804855
2019-01-01 00:50:00+00:00,443.1636475,19.4378593,39.1031834,,,,0,65.6626589,55.970611,1124.02242,57.4469773,56.701208,28.9982021,28.449821,,0.109221923,10.08241515,2,G01,,6.145399875
2019-01-01 01:00:00+00:00,365.1771122,19.32725944,34.61874489,,,,0,57.80710611,55.91907589,1054.061322,56.94776156,56.19017467,25.75815344,25.32346278,203,0.333309063,9.453841667,2,G01,203,5.597577572
2019-01-01 01:10:00+00:00,327.69847,19.30782378,34.47503,,,,0,57.255102,55.765156,1034.093944,56.34909422,55.57292322,25.00503956,25.29906422,203,-0.376162381,9.283488667,2,G01,203,5.562644211
2019-01-01 01:20:00+00:00,303.220542,19.3206185,38.6103418,,,,0,64.0072682,55.5212812,1030.10161,55.7637887,54.9733772,28.0024617,28.4001704,,-0.518325372,9.23548625,2,G01,,5.462544845
2019-01-01 01:30:00+00:00,304.453335,19.2945017,38.469463,,,,0,63.7421194,55.3219841,1030.10376,55.1853396,54.3956825,28.001907,28.3453826,206,-0.421304925,9.2344331,2,G01,206,5.410409865
