Time Stamp,Actual Total WTG Output Power /kW,Forecasted Power,,,,,,,,,,,,,,,,,
,,T+10,T+20,T+30,T+40,T+50,T+60,T+70,T+80,T+90,T+100,T+110,T+120,T+130,T+140,T+150,T+160,T+170,T+180
9/1/2021 0:00,93793.50,101374.27,101448.41,101522.62,101591.15,101665.59,101745.10,101813.17,101894.29,101978.16,102068.10,102147.59,102213.88,102287.53,102362.74,102429.82,102498.55,102559.89,102636.38
9/1/2021 0:10,95265.20,96333.19,96618.75,96877.09,97105.13,97338.96,97563.53,97801.93,98062.14,98298.47,98573.58,98848.35,99128.12,99384.23,99610.68,99849.61,100096.77,100316.69,100551.60
9/1/2021 0:20,96545.60,96618.75,96877.09,97105.13,97338.96,97563.53,97801.93,98062.14,98298.47,98573.58,98848.35,99128.12,99384.23,99610.68,99849.61,100096.77,100316.69,100551.60,100766.17
9/1/2021 0:30,97879.00,96877.09,97105.13,97338.96,97563.53,97801.93,98062.14,98298.47,98573.58,98848.35,99128.12,99384.23,99610.68,99849.61,100096.77,100316.69,100551.60,100766.17,101010.05
9/1/2021 0:40,97867.20,96427.69,96671.78,96915.66,97139.10,97393.34,97666.38,97901.95,98182.95,98474.13,98788.09,99062.91,99292.58,99550.75,99815.60,100053.13,100297.77,100505.69,100765.67
9/1/2021 0:50,97916.10,96800.39,97038.59,97259.25,97504.11,97768.55,98003.17,98272.48,98555.80,98859.79,99132.55,99362.06,99611.34,99869.23,100104.40,100342.48,100549.89,100797.99,101048.67
9/1/2021 1:00,98018.20,97679.75,97887.04,98076.11,98291.46,98524.77,98724.00,98962.34,99209.09,99476.09,99709.91,99906.85,100126.19,100351.73,100553.50,100762.02,100937.95,101140.66,101357.85
9/1/2021 1:10,98116.00,99208.83,99368.55,99508.78,99649.86,99778.57,99925.17,100083.25,100218.08,100379.41,100548.59,100731.73,100892.49,101026.55,101175.84,101329.35,101450.55,101575.05,101676.41
9/1/2021 1:20,98125.30,99368.55,99508.78,99649.86,99778.57,99925.17,100083.25,100218.08,100379.41,100548.59,100731.73,100892.49,101026.55,101175.84,101329.35,101450.55,101575.05,101676.41,101806.62
9/1/2021 1:30,98351.30,99402.30,99541.93,99681.64,99809.10,99954.28,100110.82,100244.34,100406.16,100573.85,100755.38,100914.73,101047.59,101195.57,101332.20,101451.57,101574.19,101673.95,101802.16
9/1/2021 1:40,98332.40,99541.93,99681.64,99809.10,99954.28,100110.82,100244.34,100406.16,100573.85,100755.38,100914.73,101047.59,101195.57,101332.20,101451.57,101574.19,101673.95,101802.16,101939.48
