Date & Time,Date,Time,Average Wind Speed /ms-1,Average Wind Direction /deg,Actual Active Power /kW,Forecasted Power /kW,,,,,,,,,,,,,,,,,
,,,,,,T+10,T+20,T+30,T+40,T+50,T+60,T+70,T+80,T+90,T+100,T+110,T+120,T+130,T+140,T+150,T+160,T+170,T+180
9/1/2021 0:00,9/1/2021,0:00,10.95,197.68,93774.2,101374.27,101448.41,101522.62,101591.15,101665.59,101745.1,101813.17,101894.29,101978.16,102068.1,102147.59,102213.88,102287.53,102362.74,102429.82,102498.55,102559.89,102636.38
9/1/2021 0:10,9/1/2021,0:10:00,11.11,198.15,95248.9,96333.19,96618.75,96877.09,97105.13,97338.96,97563.53,97801.93,98062.14,98298.47,98573.58,98848.35,99128.12,99384.23,99610.68,99849.61,100096.77,100316.69,100551.6
9/1/2021 0:20,9/1/2021,0:20:00,11.45,196.55,96529.7,96618.75,96877.09,97105.13,97338.96,97563.53,97801.93,98062.14,98298.47,98573.58,98848.35,99128.12,99384.23,99610.68,99849.61,100096.77,100316.69,100551.6,100766.17
9/1/2021 0:30,9/1/2021,0:30:00,11.96,196.79,97862.4,96877.09,97105.13,97338.96,97563.53,97801.93,98062.14,98298.47,98573.58,98848.35,99128.12,99384.23,99610.68,99849.61,100096.77,100316.69,100551.6,100766.17,101010.05
9/1/2021 0:40,9/1/2021,0:40:00,11.93,194.58,97852.3,96427.69,96671.78,96915.66,97139.1,97393.34,97666.38,97901.95,98182.95,98474.13,98788.09,99062.91,99292.58,99550.75,99815.6,100053.13,100297.77,100505.69,100765.67
9/1/2021 0:50,9/1/2021,0:50:00,11.98,194.87,97902.6,96800.39,97038.59,97259.25,97504.11,97768.55,98003.17,98272.48,98555.8,98859.79,99132.55,99362.06,99611.34,99869.23,100104.4,100342.48,100549.89,100797.99,101048.67
9/1/2021 1:00,9/1/2021,1:00:00,12.11,194.95,98006.3,97679.75,97887.04,98076.11,98291.46,98524.77,98724,98962.34,99209.09,99476.09,99709.91,99906.85,100126.19,100351.73,100553.5,100762.02,100937.95,101140.66,101357.85
9/1/2021 1:10,9/1/2021,1:10:00,12.18,193.35,98101.7,99208.83,99368.55,99508.78,99649.86,99778.57,99925.17,100083.25,100218.08,100379.41,100548.59,100731.73,100892.49,101026.55,101175.84,101329.35,101450.55,101575.05,101676.41
9/1/2021 1:20,9/1/2021,1:20:00,12.37,192.07,98111.2,99368.55,99508.78,99649.86,99778.57,99925.17,100083.25,100218.08,100379.41,100548.59,100731.73,100892.49,101026.55,101175.84,101329.35,101450.55,101575.05,101676.41,101806.62
9/1/2021 1:30,9/1/2021,1:30:00,12.81,191.98,98338.1,99402.3,99541.93,99681.64,99809.1,99954.28,100110.82,100244.34,100406.16,100573.85,100755.38,100914.73,101047.59,101195.57,101332.2,101451.57,101574.19,101673.95,101802.16
9/1/2021 1:40,9/1/2021,1:40:00,12.81,191.63,98320.2,99541.93,99681.64,99809.1,99954.28,100110.82,100244.34,100406.16,100573.85,100755.38,100914.73,101047.59,101195.57,101332.2,101451.57,101574.19,101673.95,101802.16,101939.48
9/1/2021 1:50,9/1/2021,1:50:00,12.75,192.1,98323.8,99424.64,99573.38,99707.52,99839.3,99965.23,100108.7,100256.51,100392.17,100549.26,100713.57,100884.07,101018.41,101134.23,101261.03,101386.63,101499.65,101610.84,101685.81
9/1/2021 2:00,9/1/2021,2:00:00,12.65,191.6,98252.8,99573.38,99707.52,99839.3,99965.23,100108.7,100256.51,100392.17,100549.26,100713.57,100884.07,101018.41,101134.23,101261.03,101386.63,101499.65,101610.84,101685.81,101782.21
9/1/2021 2:10,9/1/2021,2:10:00,12.7,191.39,98339.3,99706.09,99834.77,99962.99,100082.21,100217.37,100362.74,100488.5,100637.55,100792.49,100946.6,101079.31,101187.26,101306.82,101428.66,101535.41,101621.54,101686.67,101774.25
9/1/2021 2:20,9/1/2021,2:20:00,12.69,191.78,98254,99834.77,99962.99,100082.21,100217.37,100362.74,100488.5,100637.55,100792.49,100946.6,101079.31,101187.26,101306.82,101428.66,101535.41,101621.54,101686.67,101774.25,101867.67
9/1/2021 2:30,9/1/2021,2:30:00,12.67,193.25,98314.3,99962.99,100082.21,100217.37,100362.74,100488.5,100637.55,100792.49,100946.6,101079.31,101187.26,101306.82,101428.66,101535.41,101621.54,101686.67,101774.25,101867.67,101939.59
9/1/2021 2:40,9/1/2021,2:40:00,12.68,193.77,98350.4,99648.5,99779.93,99911.65,100032.14,100169.41,100317.54,100433.8,100573.42,100716.98,100871.73,101004.57,101111.88,101211.6,101311.9,101394.88,101478.91,101541.13,101626.36
9/1/2021 2:50,9/1/2021,2:50:00,12.44,194.13,98161.5,99779.93,99911.65,100032.14,100169.41,100317.54,100433.8,100573.42,100716.98,100871.73,101004.57,101111.88,101211.6,101311.9,101394.88,101478.91,101541.13,101626.36,101422.02
9/1/2021 3:00,9/1/2021,3:00:00,12.29,194.04,98138.2,99911.65,100032.14,100169.41,100317.54,100433.8,100573.42,100716.98,100871.73,101004.57,101111.88,101211.6,101311.9,101394.88,101478.91,101541.13,101626.36,101422.02,101176.45
9/1/2021 3:10,9/1/2021,3:10:00,12.2,193.47,98076.8,100032.14,100169.41,100317.54,100433.8,100573.42,100716.98,100871.73,101004.57,101111.88,101211.6,101311.9,101394.88,101478.91,101541.13,101626.36,101422.02,101176.45,100893.31
9/1/2021 3:20,9/1/2021,3:20:00,12.5,193.19,98240.4,99732.2,99860.77,99981.49,100090.5,100214.41,100346.91,100458.36,100591.84,100712.88,100841.85,100947.88,101028.7,101119.16,101209.65,101029.02,100828.8,100593.23,100352.98
9/1/2021 3:30,9/1/2021,3:30:00,12.82,194.11,98393.5,99192.78,99361.26,99507.68,99635.04,99761.21,99875.3,100004.98,100130.17,100231.9,100354.49,100479.05,100611.73,100721,100580.66,100429.1,100255.67,100048.7,99821.3
9/1/2021 3:40,9/1/2021,3:40:00,12.95,195.59,98480,99361.26,99507.68,99635.04,99761.21,99875.3,100004.98,100130.17,100231.9,100354.49,100479.05,100611.73,100721,100580.66,100429.1,100255.67,100048.7,99821.3,99562.68
9/1/2021 3:50,9/1/2021,3:50:00,12.88,195.79,98453.9,99497.15,99648.47,99782.08,99915.69,100038.31,100177.8,100327.66,100456.59,100610.32,100769.69,100941.51,101088.63,101210.88,101346.9,101486.1,101610.06,101737.47,101779.59
9/1/2021 4:00,9/1/2021,4:00:00,13.01,196.89,98487.8,99648.47,99782.08,99915.69,100038.31,100177.8,100327.66,100456.59,100610.32,100769.69,100941.51,101088.63,101210.88,101346.9,101486.1,101610.06,101737.47,101779.59,101844.4
9/1/2021 4:10,9/1/2021,4:10:00,13.02,196.05,99056.5,99782.08,99915.69,100038.31,100177.8,100327.66,100456.59,100610.32,100769.69,100941.51,101088.63,101210.88,101346.9,101486.1,101610.06,101737.47,101779.59,101844.4,101912.73
9/1/2021 4:20,9/1/2021,4:20:00,12.62,196.88,101688,99763.62,99896.03,100024.31,100144.3,100273.88,100415.41,100543.73,100685.16,100833.66,100992.55,101138.69,101261.2,101387.92,101520.41,101583.78,101641.78,101680.47,101731.38
9/1/2021 4:30,9/1/2021,4:30:00,12.36,198.43,101448.7,99896.03,100024.31,100144.3,100273.88,100415.41,100543.73,100685.16,100833.66,100992.55,101138.69,101261.2,101387.92,101520.41,101583.78,101641.78,101680.47,101731.38,101789.14
9/1/2021 4:40,9/1/2021,4:40:00,12.34,199.97,101497.1,100024.31,100144.3,100273.88,100415.41,100543.73,100685.16,100833.66,100992.55,101138.69,101261.2,101387.92,101520.41,101583.78,101641.78,101680.47,101731.38,101789.14,101827.68
9/1/2021 4:50,9/1/2021,4:50:00,12.35,201.35,101602.3,99934.73,100074.65,100219.05,100345.09,100489.84,100636.73,100791.08,100936.26,101062.48,101202.73,101343.09,101418.9,101490.74,101541.24,101604.99,101671.23,101715.45,101572.43
9/1/2021 5:00,9/1/2021,5:00:00,12.5,201.63,101635.8,102095.84,102146.67,102192.31,102240.4,102285.98,102331.13,102381.4,102428.54,102481.92,102532.86,102530.34,102520.13,102501,102477.19,102448.92,102411.59,102204.99,101979.16
9/1/2021 5:10,9/1/2021,5:10:00,12.25,202.14,101521.7,101971.92,102028.71,102078.66,102126.66,102169.98,102219.3,102272.3,102316.83,102370.27,102380.13,102388.16,102382.94,102364.52,102345.13,102321.28,102134.35,101931.19,101709.49
9/1/2021 5:20,9/1/2021,5:20:00,12.23,202.71,101555.4,102028.71,102078.66,102126.66,102169.98,102219.3,102272.3,102316.83,102370.27,102380.13,102388.16,102382.94,102364.52,102345.13,102321.28,102134.35,101931.19,101709.49,101473
9/1/2021 5:30,9/1/2021,5:30:00,12.5,202.91,101619.8,102105.34,102151.4,102196.24,102237.27,102282.45,102331.37,102373.96,102380.64,102384.09,102384.89,102374.7,102352.38,102327.05,102150.84,101954.58,101741.45,101511.23,101264.76
9/1/2021 5:40,9/1/2021,5:40:00,12.34,201.73,101611.5,102151.4,102196.24,102237.27,102282.45,102331.37,102373.96,102380.64,102384.09,102384.89,102374.7,102352.38,102327.05,102150.84,101954.58,101741.45,101511.23,101264.76,100998.24
