Date & Time,Active Power,Forecasted Power
8/1/2021 0:00,95.84,100.25
8/1/2021 0:10,96.03,100.01
8/1/2021 0:20,93.72,97.12
8/1/2021 0:30,88.84,96.96
8/1/2021 0:40,90.97,94.08
8/1/2021 0:50,92.97,93.81
8/1/2021 1:00,93.9,89.47
8/1/2021 1:10,97.4,89.25
8/1/2021 1:20,96.67,93.02
8/1/2021 1:30,95.42,92.59
8/1/2021 1:40,95.55,94.73
8/1/2021 1:50,96.72,94.04
8/1/2021 2:00,98.64,92.91
8/1/2021 2:10,100.29,92.2
8/1/2021 2:20,100.47,93.07
8/1/2021 2:30,100.22,92.22
8/1/2021 2:40,96.2,94.82
8/1/2021 2:50,92.47,93.41
8/1/2021 3:00,92.13,93.47
8/1/2021 3:10,90.06,91.88
8/1/2021 3:20,88.0,88.66
8/1/2021 3:30,84.33,87.83
8/1/2021 3:40,81.22,86.21
8/1/2021 3:50,75.08,85.24
8/1/2021 4:00,71.59,80.76
8/1/2021 4:10,73.06,79.88
8/1/2021 4:20,74.29,72.62
8/1/2021 4:30,75.67,71.94
8/1/2021 4:40,74.25,70.13
8/1/2021 4:50,73.39,69.23
8/1/2021 5:00,66.42,70.01
8/1/2021 5:10,64.61,68.93
8/1/2021 5:20,68.6,67.5
8/1/2021 5:30,70.67,66.37
8/1/2021 5:40,67.63,61.51
8/1/2021 5:50,63.02,61.01
8/1/2021 6:00,61.6,66.15
8/1/2021 6:10,61.46,65.45
8/1/2021 6:20,59.81,59.87
8/1/2021 6:30,59.39,59.37
8/1/2021 6:40,54.05,59.14
8/1/2021 6:50,46.91,58.46
8/1/2021 7:00,39.62,56.34
8/1/2021 7:10,36.96,55.67
8/1/2021 7:20,35.91,46.37
8/1/2021 7:30,38.69,46.02
8/1/2021 7:40,37.23,37.83
8/1/2021 7:50,33.98,37.74
8/1/2021 8:00,38.36,39.26
8/1/2021 8:10,39.01,39.0
8/1/2021 8:20,35.49,35.4
8/1/2021 8:30,35.21,35.18
8/1/2021 8:40,36.53,36.52
8/1/2021 8:50,38.15,36.53
8/1/2021 9:00,35.4,35.51
8/1/2021 9:10,33.51,35.56
8/1/2021 9:20,31.47,36.14
8/1/2021 9:30,32.09,36.16
8/1/2021 9:40,31.9,34.23
8/1/2021 9:50,28.07,34.04
8/1/2021 10:00,25.99,32.67
8/1/2021 10:10,25.62,32.48
8/1/2021 10:20,25.79,28.97
8/1/2021 10:30,29.29,28.84
8/1/2021 10:40,32.03,26.3
8/1/2021 10:50,33.79,26.5
8/1/2021 11:00,34.62,29.1
8/1/2021 11:10,36.3,29.18
8/1/2021 11:20,37.91,32.99
8/1/2021 11:30,42.51,32.91
8/1/2021 11:40,45.16,34.55
8/1/2021 11:50,44.24,34.53
1/8/2021,47.48,39.98
8/1/2021 12:10,53.71,39.77
8/1/2021 12:20,53.1,41.17
8/1/2021 12:30,53.2,40.74
8/1/2021 12:40,60.08,48.92
8/1/2021 12:50,62.54,48.39
8/1/2021 13:00,56.29,48.07
8/1/2021 13:10,55.35,47.62
8/1/2021 13:20,56.14,55.12
8/1/2021 13:30,58.83,54.41
8/1/2021 13:40,56.42,49.91
8/1/2021 13:50,58.54,49.83
8/1/2021 14:00,61.32,54.17
8/1/2021 14:10,65.59,54.01
8/1/2021 14:20,69.09,54.29
8/1/2021 14:30,72.09,54.29
8/1/2021 14:40,68.47,60.42
8/1/2021 14:50,62.56,59.95
8/1/2021 15:00,64.06,65.44
8/1/2021 15:10,61.85,64.83
8/1/2021 15:20,66.39,57.62
8/1/2021 15:30,74.71,57.34
8/1/2021 15:40,79.77,60.82
8/1/2021 15:50,84.79,61.48
8/1/2021 16:00,86.01,70.76
8/1/2021 16:10,84.46,71.25
8/1/2021 16:20,88.82,84.97
8/1/2021 16:30,96.53,84.96
8/1/2021 16:40,97.12,84.82
8/1/2021 16:50,95.97,85.72
8/1/2021 17:00,93.75,92.72
8/1/2021 17:10,93.17,93.58
8/1/2021 17:20,91.11,97.07
