Time Stamp,Actual Total WTG Output Power /kW,Forecasted Power,,,,,,,,,,,,,,,,,
,,T+10,T+20,T+30,T+40,T+50,T+60,T+70,T+80,T+90,T+100,T+110,T+120,T+130,T+140,T+150,T+160,T+170,T+180
9/1/21 0:00,"93,793.5","101,374.3","101,448.4","101,522.6","101,591.2","101,665.6","101,745.1","101,813.2","101,894.3","101,978.2","102,068.1","102,147.6","102,213.9","102,287.5","102,362.7","102,429.8","102,498.6","102,559.9","102,636.4"
9/1/21 0:10,"95,265.2","96,333.2","96,618.8","96,877.1","97,105.1","97,339.0","97,563.5","97,801.9","98,062.1","98,298.5","98,573.6","98,848.4","99,128.1","99,384.2","99,610.7","99,849.6","100,096.8","100,316.7","100,551.6"
9/1/21 0:20,"96,545.6","96,618.8","96,877.1","97,105.1","97,339.0","97,563.5","97,801.9","98,062.1","98,298.5","98,573.6","98,848.4","99,128.1","99,384.2","99,610.7","99,849.6","100,096.8","100,316.7","100,551.6","100,766.2"
9/1/21 0:30,"97,879.0","96,877.1","97,105.1","97,339.0","97,563.5","97,801.9","98,062.1","98,298.5","98,573.6","98,848.4","99,128.1","99,384.2","99,610.7","99,849.6","100,096.8","100,316.7","100,551.6","100,766.2","101,010.1"
9/1/21 0:40,"97,867.2","96,427.7","96,671.8","96,915.7","97,139.1","97,393.3","97,666.4","97,902.0","98,183.0","98,474.1","98,788.1","99,062.9","99,292.6","99,550.8","99,815.6","100,053.1","100,297.8","100,505.7","100,765.7"
9/1/21 0:50,"97,916.1","96,800.4","97,038.6","97,259.3","97,504.1","97,768.6","98,003.2","98,272.5","98,555.8","98,859.8","99,132.6","99,362.1","99,611.3","99,869.2","100,104.4","100,342.5","100,549.9","100,798.0","101,048.7"
9/1/21 1:00,"98,018.2","97,679.8","97,887.0","98,076.1","98,291.5","98,524.8","98,724.0","98,962.3","99,209.1","99,476.1","99,709.9","99,906.9","100,126.2","100,351.7","100,553.5","100,762.0","100,938.0","101,140.7","101,357.9"
9/1/21 1:10,"98,116.0","99,208.8","99,368.6","99,508.8","99,649.9","99,778.6","99,925.2","100,083.3","100,218.1","100,379.4","100,548.6","100,731.7","100,892.5","101,026.6","101,175.8","101,329.4","101,450.6","101,575.1","101,676.4"
9/1/21 1:20,"98,125.3","99,368.6","99,508.8","99,649.9","99,778.6","99,925.2","100,083.3","100,218.1","100,379.4","100,548.6","100,731.7","100,892.5","101,026.6","101,175.8","101,329.4","101,450.6","101,575.1","101,676.4","101,806.6"
9/1/21 1:30,"98,351.3","99,402.3","99,541.9","99,681.6","99,809.1","99,954.3","100,110.8","100,244.3","100,406.2","100,573.9","100,755.4","100,914.7","101,047.6","101,195.6","101,332.2","101,451.6","101,574.2","101,674.0","101,802.2"
9/1/21 1:40,"98,332.4","99,541.9","99,681.6","99,809.1","99,954.3","100,110.8","100,244.3","100,406.2","100,573.9","100,755.4","100,914.7","101,047.6","101,195.6","101,332.2","101,451.6","101,574.2","101,674.0","101,802.2","101,939.5"
9/1/21 1:50,"98,335.1","99,424.6","99,573.4","99,707.5","99,839.3","99,965.2","100,108.7","100,256.5","100,392.2","100,549.3","100,713.6","100,884.1","101,018.4","101,134.2","101,261.0","101,386.6","101,499.7","101,610.8","101,685.8"
9/1/21 2:00,"98,263.0","99,573.4","99,707.5","99,839.3","99,965.2","100,108.7","100,256.5","100,392.2","100,549.3","100,713.6","100,884.1","101,018.4","101,134.2","101,261.0","101,386.6","101,499.7","101,610.8","101,685.8","101,782.2"
9/1/21 2:10,"98,350.3","99,706.1","99,834.8","99,963.0","100,082.2","100,217.4","100,362.7","100,488.5","100,637.6","100,792.5","100,946.6","101,079.3","101,187.3","101,306.8","101,428.7","101,535.4","101,621.5","101,686.7","101,774.3"
9/1/21 2:20,"98,264.9","99,834.8","99,963.0","100,082.2","100,217.4","100,362.7","100,488.5","100,637.6","100,792.5","100,946.6","101,079.3","101,187.3","101,306.8","101,428.7","101,535.4","101,621.5","101,686.7","101,774.3","101,867.7"
9/1/21 2:30,"98,326.4","99,963.0","100,082.2","100,217.4","100,362.7","100,488.5","100,637.6","100,792.5","100,946.6","101,079.3","101,187.3","101,306.8","101,428.7","101,535.4","101,621.5","101,686.7","101,774.3","101,867.7","101,939.6"
9/1/21 2:40,"98,361.7","99,648.5","99,779.9","99,911.7","100,032.1","100,169.4","100,317.5","100,433.8","100,573.4","100,717.0","100,871.7","101,004.6","101,111.9","101,211.6","101,311.9","101,394.9","101,478.9","101,541.1","101,626.4"
9/1/21 2:50,"98,171.5","99,779.9","99,911.7","100,032.1","100,169.4","100,317.5","100,433.8","100,573.4","100,717.0","100,871.7","101,004.6","101,111.9","101,211.6","101,311.9","101,394.9","101,478.9","101,541.1","101,626.4","101,422.0"
9/1/21 3:00,"98,148.8","99,911.7","100,032.1","100,169.4","100,317.5","100,433.8","100,573.4","100,717.0","100,871.7","101,004.6","101,111.9","101,211.6","101,311.9","101,394.9","101,478.9","101,541.1","101,626.4","101,422.0","101,176.5"
9/1/21 3:10,"98,087.6","100,032.1","100,169.4","100,317.5","100,433.8","100,573.4","100,717.0","100,871.7","101,004.6","101,111.9","101,211.6","101,311.9","101,394.9","101,478.9","101,541.1","101,626.4","101,422.0","101,176.5","100,893.3"
9/1/21 3:20,"98,250.3","99,732.2","99,860.8","99,981.5","100,090.5","100,214.4","100,346.9","100,458.4","100,591.8","100,712.9","100,841.9","100,947.9","101,028.7","101,119.2","101,209.7","101,029.0","100,828.8","100,593.2","100,353.0"
9/1/21 3:30,"98,403.4","99,192.8","99,361.3","99,507.7","99,635.0","99,761.2","99,875.3","100,005.0","100,130.2","100,231.9","100,354.5","100,479.1","100,611.7","100,721.0","100,580.7","100,429.1","100,255.7","100,048.7","99,821.3"
9/1/21 3:40,"98,490.0","99,361.3","99,507.7","99,635.0","99,761.2","99,875.3","100,005.0","100,130.2","100,231.9","100,354.5","100,479.1","100,611.7","100,721.0","100,580.7","100,429.1","100,255.7","100,048.7","99,821.3","99,562.7"
9/1/21 3:50,"98,464.8","99,497.2","99,648.5","99,782.1","99,915.7","100,038.3","100,177.8","100,327.7","100,456.6","100,610.3","100,769.7","100,941.5","101,088.6","101,210.9","101,346.9","101,486.1","101,610.1","101,737.5","101,779.6"
9/1/21 4:00,"98,487.8","99,648.5","99,782.1","99,915.7","100,038.3","100,177.8","100,327.7","100,456.6","100,610.3","100,769.7","100,941.5","101,088.6","101,210.9","101,346.9","101,486.1","101,610.1","101,737.5","101,779.6","101,844.4"
9/1/21 4:10,"99,056.5","99,782.1","99,915.7","100,038.3","100,177.8","100,327.7","100,456.6","100,610.3","100,769.7","100,941.5","101,088.6","101,210.9","101,346.9","101,486.1","101,610.1","101,737.5","101,779.6","101,844.4","101,912.7"
9/1/21 4:20,"101,688.0","99,763.6","99,896.0","100,024.3","100,144.3","100,273.9","100,415.4","100,543.7","100,685.2","100,833.7","100,992.6","101,138.7","101,261.2","101,387.9","101,520.4","101,583.8","101,641.8","101,680.5","101,731.4"
9/1/21 4:30,"101,448.7","99,896.0","100,024.3","100,144.3","100,273.9","100,415.4","100,543.7","100,685.2","100,833.7","100,992.6","101,138.7","101,261.2","101,387.9","101,520.4","101,583.8","101,641.8","101,680.5","101,731.4","101,789.1"
9/1/21 4:40,"101,497.1","100,024.3","100,144.3","100,273.9","100,415.4","100,543.7","100,685.2","100,833.7","100,992.6","101,138.7","101,261.2","101,387.9","101,520.4","101,583.8","101,641.8","101,680.5","101,731.4","101,789.1","101,827.7"
9/1/21 4:50,"101,602.3","99,934.7","100,074.7","100,219.1","100,345.1","100,489.8","100,636.7","100,791.1","100,936.3","101,062.5","101,202.7","101,343.1","101,418.9","101,490.7","101,541.2","101,605.0","101,671.2","101,715.5","101,572.4"
9/1/21 5:00,"101,635.8","102,095.8","102,146.7","102,192.3","102,240.4","102,286.0","102,331.1","102,381.4","102,428.5","102,481.9","102,532.9","102,530.3","102,520.1","102,501.0","102,477.2","102,448.9","102,411.6","102,205.0","101,979.2"
9/1/21 5:10,"101,521.7","101,971.9","102,028.7","102,078.7","102,126.7","102,170.0","102,219.3","102,272.3","102,316.8","102,370.3","102,380.1","102,388.2","102,382.9","102,364.5","102,345.1","102,321.3","102,134.4","101,931.2","101,709.5"
9/1/21 5:20,"101,555.4","102,028.7","102,078.7","102,126.7","102,170.0","102,219.3","102,272.3","102,316.8","102,370.3","102,380.1","102,388.2","102,382.9","102,364.5","102,345.1","102,321.3","102,134.4","101,931.2","101,709.5","101,473.0"
9/1/21 5:30,"101,619.8","102,105.3","102,151.4","102,196.2","102,237.3","102,282.5","102,331.4","102,374.0","102,380.6","102,384.1","102,384.9","102,374.7","102,352.4","102,327.1","102,150.8","101,954.6","101,741.5","101,511.2","101,264.8"
9/1/21 5:40,"101,611.5","102,151.4","102,196.2","102,237.3","102,282.5","102,331.4","102,374.0","102,380.6","102,384.1","102,384.9","102,374.7","102,352.4","102,327.1","102,150.8","101,954.6","101,741.5","101,511.2","101,264.8","100,998.2"
9/1/21 5:50,"101,384.1","102,011.7","102,064.6","102,110.6","102,156.3","102,197.5","102,209.9","102,220.3","102,218.5","102,218.8","102,214.5","102,207.2","102,059.2","101,888.8","101,702.6","101,498.2","101,276.3","101,037.0","100,675.6"
9/1/21 6:00,"101,517.5","102,064.6","102,110.6","102,156.3","102,197.5","102,209.9","102,220.3","102,218.5","102,218.8","102,214.5","102,207.2","102,059.2","101,888.8","101,702.6","101,498.2","101,276.3","101,037.0","100,675.6","100,283.0"
9/1/21 6:10,"101,567.7","102,062.3","102,112.1","102,156.9","102,168.6","102,174.6","102,178.7","102,178.5","102,171.3","102,161.6","102,031.1","101,880.6","101,709.5","101,518.4","101,308.5","101,082.1","100,736.2","100,368.2","99,974.9"
9/1/21 6:20,"101,673.7","102,112.1","102,156.9","102,168.6","102,174.6","102,178.7","102,178.5","102,171.3","102,161.6","102,031.1","101,880.6","101,709.5","101,518.4","101,308.5","101,082.1","100,736.2","100,368.2","99,974.9","99,547.6"
