Date & Time,"Average  Wind Speed
(m/s)"," Average  Wind Dirction
(deg) "," Average Active Power
(MW) "," Forecasted Power 
(kW) "
8/1/2021 0:00,10.66,186.92,95.84,100.25
8/1/2021 0:10,10.71,188.15,96.03,100.01
8/1/2021 0:20,10.53,188.78,93.72,97.12
8/1/2021 0:30,10.2,189.8,88.84,96.96
8/1/2021 0:40,10.34,193,90.97,94.08
8/1/2021 0:50,10.52,194.74,92.97,93.81
8/1/2021 1:00,10.65,195.26,93.9,89.47
8/1/2021 1:10,10.94,191.92,97.4,89.25
8/1/2021 1:20,10.84,189.53,96.67,93.02
8/1/2021 1:30,10.7,192.27,95.42,92.59
8/1/2021 1:40,10.73,193.39,95.55,94.73
8/1/2021 1:50,10.8,193.51,96.72,94.04
8/1/2021 2:00,11.02,194.73,98.64,92.91
8/1/2021 2:10,11.38,194.36,100.29,92.2
8/1/2021 2:20,11.49,192.88,100.47,93.07
8/1/2021 2:30,11.4,194.59,100.22,92.22
8/1/2021 2:40,11.03,195.84,96.2,94.82
8/1/2021 2:50,10.74,185.53,92.47,93.41
8/1/2021 3:00,10.62,196.81,92.13,93.47
8/1/2021 3:10,10.45,198.07,90.06,91.88
8/1/2021 3:20,10.35,186.98,88,88.66
8/1/2021 3:30,10.12,188.14,84.33,87.83
8/1/2021 3:40,9.92,189.4,81.22,86.21
8/1/2021 3:50,9.65,190.36,75.08,85.24
8/1/2021 4:00,9.45,189.03,71.59,80.76
8/1/2021 4:10,9.53,190.67,73.06,79.88
8/1/2021 4:20,9.56,191.05,74.29,72.62
8/1/2021 4:30,9.63,190.62,75.67,71.94
8/1/2021 4:40,9.56,191.48,74.25,70.13
8/1/2021 4:50,9.53,190.58,73.39,69.23
8/1/2021 5:00,9.18,189.88,66.42,70.01
8/1/2021 5:10,9.06,190.4,64.61,68.93
8/1/2021 5:20,9.3,190.45,68.6,67.5
8/1/2021 5:30,9.4,187.01,70.67,66.37
8/1/2021 5:40,9.25,186.85,67.63,61.51
8/1/2021 5:50,9,187.14,63.02,61.01
8/1/2021 6:00,8.93,186.97,61.6,66.15
8/1/2021 6:10,8.95,186.01,61.46,65.45
8/1/2021 6:20,8.83,185.04,59.81,59.87
8/1/2021 6:30,8.83,185.81,59.39,59.37
8/1/2021 6:40,8.51,187.18,54.05,59.14
8/1/2021 6:50,8.11,188.76,46.91,58.46
8/1/2021 7:00,7.72,189.08,39.62,56.34
8/1/2021 7:10,7.48,191.11,36.96,55.67
8/1/2021 7:20,7.45,191.49,35.91,46.37
8/1/2021 7:30,7.67,189.05,38.69,46.02
8/1/2021 7:40,7.53,187.71,37.23,37.83
8/1/2021 7:50,7.34,187.95,33.98,37.74
8/1/2021 8:00,7.56,188.16,38.36,39.26
8/1/2021 8:10,7.61,187.54,39.01,39
8/1/2021 8:20,7.36,186.71,35.49,35.4
8/1/2021 8:30,7.35,197.72,35.21,35.18
8/1/2021 8:40,7.43,196.81,36.53,36.52
8/1/2021 8:50,7.54,198.05,38.15,36.53
8/1/2021 9:00,7.36,186.67,35.4,35.51
8/1/2021 9:10,7.25,186.42,33.51,35.56
8/1/2021 9:20,7.1,186.97,31.47,36.14
8/1/2021 9:30,7.14,187.13,32.09,36.16
8/1/2021 9:40,7.14,188.03,31.9,34.23
8/1/2021 9:50,6.88,187.21,28.07,34.04
8/1/2021 10:00,6.68,199.87,25.99,32.67
8/1/2021 10:10,6.67,199.61,25.62,32.48
8/1/2021 10:20,6.68,199.24,25.79,28.97
8/1/2021 10:30,6.92,201.97,29.29,28.84
8/1/2021 10:40,7.15,191.23,32.03,26.3
8/1/2021 10:50,7.27,191.33,33.79,26.5
8/1/2021 11:00,7.35,189.38,34.62,29.1
8/1/2021 11:10,7.46,188.4,36.3,29.18
8/1/2021 11:20,7.55,190.13,37.91,32.99
8/1/2021 11:30,7.83,192.39,42.51,32.91
8/1/2021 11:40,8,194,45.16,34.55
8/1/2021 11:50,7.93,192.81,44.24,34.53
1/8/2021,8.07,192.82,47.48,39.98
8/1/2021 12:10,8.39,193.48,53.71,39.77
8/1/2021 12:20,8.4,192.96,53.1,41.17
8/1/2021 12:30,8.41,193.3,53.2,40.74
8/1/2021 12:40,8.73,194.62,60.08,48.92
8/1/2021 12:50,8.88,195.18,62.54,48.39
8/1/2021 13:00,8.58,194.46,56.29,48.07
8/1/2021 13:10,8.55,192.21,55.35,47.62
8/1/2021 13:20,8.59,190.53,56.14,55.12
8/1/2021 13:30,8.72,190.29,58.83,54.41
8/1/2021 13:40,8.59,188.19,56.42,49.91
8/1/2021 13:50,8.68,186.73,58.54,49.83
8/1/2021 14:00,8.84,196.77,61.32,54.17
8/1/2021 14:10,9.02,186.63,65.59,54.01
8/1/2021 14:20,9.21,187.58,69.09,54.29
8/1/2021 14:30,9.37,188.26,72.09,54.29
8/1/2021 14:40,9.17,187.41,68.47,60.42
8/1/2021 14:50,8.89,187.9,62.56,59.95
8/1/2021 15:00,8.98,189.31,64.06,65.44
8/1/2021 15:10,8.89,187.87,61.85,64.83
8/1/2021 15:20,9.11,188.93,66.39,57.62
8/1/2021 15:30,9.5,190.4,74.71,57.34
8/1/2021 15:40,9.76,189.77,79.77,60.82
8/1/2021 15:50,9.97,189.31,84.79,61.48
8/1/2021 16:00,10.05,188.84,86.01,70.76
8/1/2021 16:10,9.97,188.36,84.46,71.25
8/1/2021 16:20,10.26,185.42,88.82,84.97
8/1/2021 16:30,10.74,194.01,96.53,84.96
8/1/2021 16:40,10.79,192.53,97.12,84.82
8/1/2021 16:50,10.72,191.69,95.97,85.72
8/1/2021 17:00,10.56,189.16,93.75,92.72
8/1/2021 17:10,10.45,188.27,93.17,93.58
8/1/2021 17:20,10.35,189.25,91.11,97.07
8/1/2021 17:30,10.39,189.15,91.07,97.98
8/1/2021 17:40,10.4,190.9,92.35,94.65
8/1/2021 17:50,10.21,191.2,89.13,95
8/1/2021 18:00,10.16,190.96,87.85,94
8/1/2021 18:10,10.21,191.24,88.64,94.39
8/1/2021 18:20,10.22,189.05,87.77,91.29
8/1/2021 18:30,10.21,188.51,88.3,91.82
8/1/2021 18:40,10.34,190.04,90.29,91.68
8/1/2021 18:50,10.75,191.58,96.09,92.1
8/1/2021 19:00,10.67,192.93,95.73,92.14
8/1/2021 19:10,10.77,194.6,96.46,92.55
8/1/2021 19:20,10.86,183.01,98.24,97.4
8/1/2021 19:30,10.62,192.42,94.4,97.59
8/1/2021 19:40,10.59,190.9,95.33,96.8
8/1/2021 19:50,10.61,190.58,95,96.66
8/1/2021 20:00,10.81,189.19,96.53,94.7
8/1/2021 20:10,10.99,187.64,98.4,94.6
8/1/2021 20:20,10.9,186.81,97.77,95.22
8/1/2021 20:30,10.83,186.12,97.55,95.06
8/1/2021 20:40,10.74,185.29,96.77,97.77
8/1/2021 20:50,10.62,185.35,95.72,97.61
8/1/2021 21:00,10.36,185.32,91.55,96.84
8/1/2021 21:10,10.21,184.33,88.18,96.7
8/1/2021 21:20,10.19,182.48,87.92,95.29
8/1/2021 21:30,9.96,182.48,84.36,95.21
8/1/2021 21:40,10.01,182.46,84.67,89.46
8/1/2021 21:50,10.19,180.83,87.68,89.72
8/1/2021 22:00,10.3,180.14,89.77,87.85
8/1/2021 22:10,10.33,180.26,91.16,88.19
8/1/2021 22:20,10.69,181.19,96.24,89.41
8/1/2021 22:30,10.7,181.46,95.9,89.72
8/1/2021 22:40,10.6,180.62,94.43,95.78
8/1/2021 22:50,10.3,181.53,89.9,95.76
8/1/2021 23:00,10.22,182.33,88.45,95.8
8/1/2021 23:10,10.29,184.12,89.43,95.77
8/1/2021 23:20,10.33,185.75,90.8,92.54
8/1/2021 23:30,10.29,183.97,88.59,92.64
8/1/2021 23:40,10.21,183.52,87.25,91.12
8/1/2021 23:50,10.03,183.7,82.67,90.88
2/8/2021,9.86,184.02,79.29,88.93
8/2/2021 0:10,9.62,185.21,77.09,88.7
8/2/2021 0:20,9.22,187.79,68.61,84.48
8/2/2021 0:30,9.35,189.09,68.57,84.29
8/2/2021 0:40,9.5,189.07,73.18,78.64
8/2/2021 0:50,9.85,189.55,81.22,78.66
8/2/2021 1:00,9.69,191.16,78.12,71.99
8/2/2021 1:10,9.5,193.04,73.38,72.16
8/2/2021 1:20,9.34,192.54,70.71,81.37
8/2/2021 1:30,9.52,192.93,74.08,81.11
8/2/2021 1:40,9.76,194.59,78.93,74.49
