Date & Time,Frequency Hz,Voltage R Phase V,Voltage S Phase V,Voltage T Phase V,Current R Phase A,Current S Phase  A,Current T Phase A,Wind Speed m/s,Active Power kW,Reactive Power kVAR,Generator RPM,Hydraulic unit Pressure in bar,Ambient Temperature,Nacelle Temperature,Gearbox oil Temperature,Gearbox Bearing Temperature,Generator Winding Temperature R,Generator Winding Temperature S,Generator Winding Temperature T,Hydraulic oil Temperature,Main bearing Temperature,Generator Bearing Temperature DE,Generator Bearing Temperature NDE
FECHA_HORA,SSV_5SM_006_XS_FRQ_MEDI,SSV_5SM_006_XS_TNS_FASR,SSV_5SM_006_XS_TNS_FASS,SSV_5SM_006_XS_TNS_FAST,SSV_5SM_006_XS_INT_FASR,SSV_5SM_006_XS_INT_FASS,SSV_5SM_006_XS_INT_FAST,SSV_5SM_006_XS_VEL_WIND,SSV_5SM_006_XS_POT_MEDI,SSV_5SM_006_XS_POT_REAC,SSV_5SM_006_XS_VEL_LGMD,SSV_5SM_006_XS_PRS_PRPL,SSV_5SM_006_XS_TMP_0004,SSV_5SM_006_XS_TMP_V006,SSV_5SM_006_XS_TMP_V007,SSV_5SM_006_XS_TMP_V008,SSV_5SM_006_XS_TMP_V003,SSV_5SM_006_XS_TMP_V004,SSV_5SM_006_XS_TMP_V005,SSV_5SM_006_XS_TMP_V002,SSV_5SM_006_XS_TMP_V001,SSV_5SM_006_XS_TMP_0008,SSV_5SM_006_XS_TMP_0007
24/06/2021 00:00:00,50.27,590.5,588.6,585.7,435.7,427.5,426.6,10.4,737.8,1.3,1486.6,166.7,31.6,34.2,70.2,79.7,139.9,132.9,138.1,53.3,43.9,74.6,72.4
24/06/2021 00:00:10,50.26,585.6,587.4,591.3,418.9,413.6,410.7,11.4,745.5,1.7,1482.2,180.3,31.4,34.3,69.5,79.9,139.1,132.5,138.1,53.6,43.8,74.5,72.6
24/06/2021 00:00:20,50.24,591.8,589.5,586.5,429.8,425.6,421.3,10.2,732.7,8.2,1500,166.8,31.4,34.3,69.6,79.9,139.8,133.4,138.2,53.6,43.9,74.5,72.7
24/06/2021 00:00:30,50.22,591.1,588.5,584.5,425.9,427.1,441.2,10.1,743.1,8.4,1493.2,167.4,31.4,34.3,70.2,79.7,139.5,133.2,137.8,53.7,43.9,74.6,72.7
24/06/2021 00:00:40,50.31,593.3,585.5,589.4,421.5,421.2,430.8,10.5,744,3.8,1529.8,180,31.5,34.2,70,79.6,139.2,133.6,137.3,53.7,43.8,74.3,72.8
24/06/2021 00:00:50,50.27,590.8,583.4,589.7,428.4,425.8,431,9.4,700.2,0.6,1493.2,165.8,31.6,34.2,69.2,80.1,139.5,132.9,137.3,53.7,43.9,74.7,72.7
24/06/2021 00:01:00,50.27,592,586.1,583.3,435.6,436.4,435.7,9.7,769.8,-4.6,1515.1,168,31.5,34.2,70.1,79.7,140.5,133.4,138.6,53.8,43.9,74.6,72.9
24/06/2021 00:01:10,50.22,592.2,587.8,587.9,424.1,418.2,415.1,10,712.4,6.1,1495.5,178.3,31.5,34,70,79.8,139.8,132.4,137.7,53.8,43.8,74.7,73
24/06/2021 00:01:20,50.12,589.3,586.7,591.7,416.2,419.8,413.7,10.3,733.1,-20.4,1506,163.2,31.5,34,69.5,79.7,139,133,138.4,53.8,43.9,74.6,73.1
24/06/2021 00:01:30,50.24,589.6,588.5,593.3,428.4,420.9,423.7,9.9,724.9,15.1,1488,169.1,31.6,33.9,70.2,79.7,139.8,133.5,138.2,53.7,43.9,74.6,73.2
24/06/2021 00:01:40,50.2,588.6,590.4,590.5,416.2,415.9,417.7,9.9,713.5,-6,1493.2,178.6,31.5,33.8,69.4,79.9,139.6,133.1,138.3,53.6,43.9,74.6,73.2
24/06/2021 00:01:50,50.26,590.3,591.1,589.8,421.5,422.5,407.9,9.5,750.2,-16.1,1517.4,162,31.5,33.7,69.7,80.1,140.4,133.4,137.8,53.6,43.9,74.6,73.2
24/06/2021 00:02:00,50.22,590.5,583.9,589.7,427.5,420.1,423.5,10,737.1,-2.2,1507.5,169.9,31.5,33.7,69.5,80,139.8,134,138.3,53.5,43.9,74.7,73.3
24/06/2021 00:02:10,50.26,592.7,585.8,587.4,426.5,435.2,429.1,10.9,729.7,0.7,1499.2,177.3,31.5,33.7,69.2,80.2,140.4,133.3,138.9,53.3,43.9,74.7,73.3
24/06/2021 00:02:20,50.2,590.1,586.7,589.9,414.7,413.4,415.1,10.5,757.4,5.9,1486.6,160.3,31.5,33.7,70,79.7,140.2,133.9,137.7,53.4,43.9,74.7,73.4
24/06/2021 00:02:30,50.2,591.8,585.8,584.9,431.7,435.6,427.1,10.2,741.3,3.8,1495.5,170.3,31.5,33.7,69.3,80.1,140.5,134.4,138.1,53.5,43.9,74.7,73.4
24/06/2021 00:02:40,50.26,592,587.1,584.6,418.5,413.1,413.3,10.2,709.9,-6.3,1462.7,177.3,31.5,33.5,69.8,79.8,140.3,133.3,138.5,53.8,43.9,74.7,73.6
24/06/2021 00:02:50,50.24,588.1,592,585.6,394.2,394.1,392.4,9.8,692.2,13.3,1443,160.5,31.5,33.5,69.3,80,140.2,132.2,138.2,53.9,43.9,74.8,73.6
24/06/2021 00:03:00,50.26,592.6,592.5,587.7,412,399.1,398.7,9.6,698.8,1,1444.3,172.6,31.6,33.5,70.5,80.1,139.6,133.4,138.4,53.9,43.9,74.7,73.8
24/06/2021 00:03:10,50.27,591.6,592.3,588.1,405.8,399.4,401,9.8,721.9,15.8,1466.9,174.8,31.6,33.4,69.9,79.8,140.2,133.2,138.4,53.8,43.9,74.9,73.8
24/06/2021 00:03:20,50.24,592.3,591.7,588.3,406.5,411.3,401.4,10.4,746,-0.6,1528.2,162.1,31.5,33.4,69.5,80.1,140.1,133.3,138.6,53.7,43.9,74.7,73.9
24/06/2021 00:03:30,50.26,594.5,587.9,589.8,436.6,438.5,430.2,10.5,749.4,-7.8,1508.2,172.9,31.4,33.2,70.4,79.7,140.6,132.4,138.1,53.6,43.9,74.7,74
24/06/2021 00:03:40,50.26,593,590.1,584.8,421,419.8,422.9,10.1,736.9,-3.7,1506,174.9,31.5,33.1,70.3,80.1,140,133.5,138.4,53.6,43.9,74.7,74
24/06/2021 00:03:50,50.24,590,591.3,589.3,434.7,426.3,430.4,10,734.5,-3.5,1508.2,162.3,31.4,33.1,69.4,80.2,140.1,133.7,138.7,53.8,43.9,74.8,74.1
24/06/2021 00:04:00,50.26,590.1,590.9,590.9,416,412.2,416.4,10.4,754.6,8.5,1494,173.9,31.4,33.1,70,79.9,139.4,134,138.9,53.8,43.8,74.8,74
24/06/2021 00:04:10,50.27,590.9,591.2,588.1,424.3,423.5,420.5,10.4,750.9,5.5,1494.7,177,31.4,33.2,69.6,80,139.3,132.9,137.8,53.8,43.8,75,74.1
24/06/2021 00:04:20,50.24,590.8,591.3,591.6,420.1,421.6,416.7,10.6,771.4,5.1,1527.4,160.4,31.6,33.3,69.5,79.8,139.7,133.5,138.4,53.8,43.9,75.1,74.2
24/06/2021 00:04:30,50.29,592.8,592.4,588.5,416.9,417.7,414.3,11.1,747.4,0,1488,171.3,31.4,33.4,69.4,80.1,139.7,133.4,139.2,53.4,43.9,74.9,74.3
24/06/2021 00:04:40,50.27,594.5,587.6,590.2,413.8,414,410.8,10.4,734.7,13.4,1503.7,176.8,31.4,33.4,69.9,80,140.6,133,138.4,53.3,43.8,75.2,74.4
24/06/2021 00:04:50,50.22,592.4,589.3,586.6,425.9,423.5,417.6,10.5,752.3,2.4,1493.2,160.1,31.3,33.4,69.5,80.1,140.3,133.9,138.9,53.4,43.9,74.9,74.5
